
time:2018-12-14 17:12:07, Preset positions:2, ID:1, temperature:22.1
time:2018-12-14 17:12:17, Preset positions:3, ID:1, temperature:18.8
time:2018-12-14 17:12:28, Preset positions:4, ID:1, temperature:18.4
time:2018-12-14 17:12:58, Preset positions:2, ID:1, temperature:22.8
time:2018-12-14 17:13:07, Preset positions:3, ID:1, temperature:19.1
time:2018-12-14 17:13:18, Preset positions:4, ID:1, temperature:18.3
time:2018-12-14 17:13:48, Preset positions:2, ID:1, temperature:22.1
time:2018-12-14 17:14:00, Preset positions:4, ID:1, temperature:18.4
time:2018-12-14 17:14:33, Preset positions:2, ID:1, temperature:22.7
time:2018-12-14 17:14:43, Preset positions:3, ID:1, temperature:18.9
time:2018-12-14 17:14:53, Preset positions:4, ID:1, temperature:18.3
time:2018-12-14 17:15:23, Preset positions:2, ID:1, temperature:22.5
time:2018-12-14 17:15:33, Preset positions:3, ID:1, temperature:18.9
time:2018-12-14 17:15:43, Preset positions:4, ID:1, temperature:18.3
time:2018-12-14 17:16:13, Preset positions:2, ID:1, temperature:22.4
time:2018-12-14 17:16:23, Preset positions:3, ID:1, temperature:19
time:2018-12-14 17:16:33, Preset positions:4, ID:1, temperature:18.2
time:2018-12-14 17:17:04, Preset positions:2, ID:1, temperature:21.9
time:2018-12-14 17:17:13, Preset positions:3, ID:1, temperature:19
time:2018-12-14 17:17:23, Preset positions:4, ID:1, temperature:18
time:2018-12-14 17:17:54, Preset positions:2, ID:1, temperature:22.6
time:2018-12-14 17:18:03, Preset positions:3, ID:1, temperature:19.1
time:2018-12-14 17:18:13, Preset positions:4, ID:1, temperature:18.5
time:2018-12-14 17:18:44, Preset positions:2, ID:1, temperature:22.3
time:2018-12-14 17:18:53, Preset positions:3, ID:1, temperature:18.8
time:2018-12-14 17:19:03, Preset positions:4, ID:1, temperature:18
time:2018-12-14 17:19:34, Preset positions:2, ID:1, temperature:22.2
time:2018-12-14 17:19:43, Preset positions:3, ID:1, temperature:18.7
time:2018-12-14 17:19:53, Preset positions:4, ID:1, temperature:18.2
time:2018-12-14 17:20:24, Preset positions:2, ID:1, temperature:22.5
time:2018-12-14 17:20:33, Preset positions:3, ID:1, temperature:18.8
time:2018-12-14 17:20:44, Preset positions:4, ID:1, temperature:17.7
time:2018-12-14 17:21:14, Preset positions:2, ID:1, temperature:22.6
time:2018-12-14 17:21:23, Preset positions:3, ID:1, temperature:18.7
time:2018-12-14 17:21:34, Preset positions:4, ID:1, temperature:18.2
time:2018-12-14 17:22:04, Preset positions:2, ID:1, temperature:22.4
time:2018-12-14 17:22:13, Preset positions:3, ID:1, temperature:19
time:2018-12-14 17:22:24, Preset positions:4, ID:1, temperature:18
time:2018-12-14 17:22:54, Preset positions:2, ID:1, temperature:22.3
time:2018-12-14 17:23:03, Preset positions:3, ID:1, temperature:18.9
time:2018-12-14 17:23:14, Preset positions:4, ID:1, temperature:17.9
time:2018-12-14 17:23:35, Preset positions:2, ID:1, temperature:22.4
time:2018-12-14 17:25:33, Preset positions:2, ID:1, temperature:22.3
time:2018-12-14 17:25:43, Preset positions:3, ID:1, temperature:19
time:2018-12-14 17:25:53, Preset positions:4, ID:1, temperature:17.9
time:2018-12-14 17:26:23, Preset positions:2, ID:1, temperature:22.5
time:2018-12-14 17:26:33, Preset positions:3, ID:1, temperature:19.1
time:2018-12-14 17:26:43, Preset positions:4, ID:1, temperature:18.2
time:2018-12-14 17:26:57, Preset positions:2, ID:1, temperature:22.5
time:2018-12-14 17:28:19, Preset positions:2, ID:1, temperature:21.9
time:2018-12-14 17:28:29, Preset positions:3, ID:1, temperature:18.8
time:2018-12-14 17:28:39, Preset positions:4, ID:1, temperature:17.7
time:2018-12-14 17:29:09, Preset positions:2, ID:1, temperature:21.9
time:2018-12-14 17:29:19, Preset positions:3, ID:1, temperature:18.6
time:2018-12-14 17:29:29, Preset positions:4, ID:1, temperature:17.6
time:2018-12-14 17:29:57, Preset positions:2, ID:1, temperature:21.8
